creativecommons.org/licenses/devnations/2.0/*,1300
creativecommons.org/licenses/nc/1.0/*,5500
creativecommons.org/licenses/nc-sa/1.0/*,400
creativecommons.org/licenses/nc-sampling+/1.0/*,6000
creativecommons.org/licenses/nd/1.0/*,1200
creativecommons.org/licenses/nd-nc/1.0/*,600
creativecommons.org/licenses/publicdomain/*,5737500
creativecommons.org/licenses/sa/1.0/*,1800
creativecommons.org/licenses/sampling/1.0/*,200
creativecommons.org/licenses/sampling+/1.0/*,22200
